parameter_id,parameter_family,purpose,value,status,unit,scope,evidence_ids,origin_type,adoption_reason,alternatives,uncertainty,sensitivity,calibration,model_version,release_gate,legacy_rule_ids,source_locator,live_default,notes
PAR_LEGACY_OFFICIAL_GRADE_ANCHORS,legacy_grade,공식 순서등급의 표시 숫자,"{""very_good"":95,""매우좋음"":95,""good"":80,""좋음"":80,""fair"":60,""moderate"":60,""보통"":60,""poor"":35,""나쁨"":35,""very_poor"":15,""매우나쁨"":15}",retired_or_not_adopted,heuristic_points,공식등급이 있는 swim/surf/mudflat,SW08;SW11;HC18;AC02,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-01,legacy profiles.py:48–62,null,공식 숫자/등간 효용/안전확률 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님); profiles.py:48–62 실제 alias 전부 재확인; fair_or_moderate라는 입력 토큰은 없음.
PAR_LEGACY_SWIM_WEIGHTS,legacy_weights,swim 혼합 점수 가중치,"{""official_activity_grade"":0.45,""water_temperature_c"":0.15,""air_temperature_c"":0.1,""wave_height_m"":0.1,""wind_speed_ms"":0.08,""precipitation_1h_mm"":0.05,""uv_index"":0.03,""crowd_level"":0.04}",retired_or_not_adopted,proportion_weight,swim,SW01;SW02;SW03;SW06;HC06;HC08,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-02,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_SURF_WEIGHTS,legacy_weights,surf 혼합 점수 가중치,"{""official_activity_grade"":0.8,""crowd_level"":0.1,""uv_index"":0.1}",retired_or_not_adopted,proportion_weight,surf,AC01;AC02;AC11,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-06,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_RELAX_WEIGHTS,legacy_weights,relax 혼합 점수 가중치,"{""hci_beach_score"":0.9,""crowd_level"":0.1}",retired_or_not_adopted,proportion_weight,relax,HC01;HC02;HC03;HC05;HC09,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-07,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_MUDFLAT_WEIGHTS,legacy_weights,mudflat 혼합 점수 가중치,"{""official_activity_grade"":0.85,""crowd_level"":0.1,""uv_index"":0.05}",retired_or_not_adopted,proportion_weight,mudflat,AC08;AC09,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-08,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_ONSEN_WEIGHTS,legacy_weights,onsen 혼합 점수 가중치,"{""facility_operation_confidence"":0.4,""crowd_fit"":0.2,""amenity_fit"":0.2,""indoor_weather_shelter"":0.1,""preferred_temperature_fit"":0.1}",retired_or_not_adopted,proportion_weight,onsen,AC05;AC06;AC07;SW12;SW13,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-09,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_RAFTING_WEIGHTS,legacy_weights,rafting 혼합 점수 가중치,"{""flow_suitability_score"":0.6,""operator_readiness"":0.2,""flow_trend_stability"":0.1,""thermal_gear_readiness"":0.1}",retired_or_not_adopted,proportion_weight,rafting,AC03;AC04;AC10,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-10,legacy profiles.py:94–187,null,합계1은 산술 제약일 뿐 경험적 효용 동일성을 증명하지 않음; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_SWIM_WATER_TEMPERATURE,legacy_curve,SWIM_WATER_TEMPERATURE 점수곡선 좌표,"{""points"":[[5,0],[14.99,0],[15,10],[16,30],[18,55],[20,75],[23,90],[26,100],[30,100],[31,50],[31.01,0],[36,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,degC→heuristic_points,swim,SW01;SW02;SW03;SW06,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-03,legacy profiles.py:77–79,null,활동·장비·노출별로 차이가 있으며 가족 안전선 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_OUTDOOR_AIR_COMFORT,legacy_curve,OUTDOOR_AIR_COMFORT 점수곡선 좌표,"{""points"":[[-10,0],[5,10],[15,45],[22,90],[26,100],[31,80],[35,40],[40,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,degC→heuristic_points,swim,HC06;HC09;KR01,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-04,legacy profiles.py:80–82,null,기온26°C 선호최적값을 검증한 곡선 아님; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
PAR_LEGACY_CURVE_CALM_WIND,legacy_curve,CALM_WIND 점수곡선 좌표,"{""points"":[[0,100],[3,100],[6,80],[8.3,55],[10.8,25],[14,0]],""interpolation"":""linear"",""outside_domain"":""endpoint_constant""}",retired_or_not_adopted,m/s→heuristic_points,swim,HC04;AC01;AC02;AC14,미검증기존,기존 구현의 역사적 값만 보존한다. 한국 물활동의 정량 타당성이 검증되지 않아 새 모델에 채택하지 않는다.,새 모델은 null/unknown; 명시된 별도 승인값이 있을 때만 사용,출처 라벨·단위 테스트가 계수 추정 불확실성을 제공하지 않는다.,오프라인 비교에서 값/경계 변화에 따른 순위·abstention·오판 변화를 평가; 현재 수치로 운영하지 않음.,대상·장소·계절·활동별 자료로 독립 보정과 외부 검증 후 별도 신규 parameter_id에 승인값 기록.,legacy:b160cf1c07cc0f299f9d83839557a1e987c47be4,G_PARAMETER_TRACE:pending;G_RULE_VERIFICATION:pending (비채택 역사 기록; 통과해도 새 모델로 자동 승격하지 않음),L-05,legacy profiles.py:86,null,평균/최대/돌풍 대체불가; 원코드 engine.py:33 methodology_version=water-index-v1.0.0 (새 모델 버전 아님)
